frame.number,frame.time,frame.len,tcp.len,eth.src,eth.dst,ip.src,ip.dst,ip.len,ip.proto,_ws.col.Info
"26","Feb 10, 2020 21:50:48.835404192 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"27","Feb 10, 2020 21:50:48.835408682 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"28","Feb 10, 2020 21:50:49.452778709 IST","54",,"98:22:ef:d5:cc:2f","01:00:5e:00:00:16","192.168.0.104","224.0.0.22","40","2","Membership Report / Join group 224.0.0.251 for any sources"
"29","Feb 10, 2020 21:50:50.833425182 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"30","Feb 10, 2020 21:50:50.835941399 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"31","Feb 10, 2020 21:50:50.835948443 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"32","Feb 10, 2020 21:50:50.835952917 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"33","Feb 10, 2020 21:50:51.320432753 IST","97","31","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","52.20.208.148","192.168.0.104","83","6","Application Data"
"34","Feb 10, 2020 21:50:51.320533850 IST","66","0","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","52.20.208.148","52","6","46328 → 443 [ACK] Seq=51 Ack=78 Win=501 Len=0 TSval=2923754499 TSecr=1460819737"
"35","Feb 10, 2020 21:50:51.320926996 IST","101","35","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","52.20.208.148","87","6","Application Data"
